Position,Location,Registration Date,Scrape date
Massage/Spa Therapist/Moroccan Bath Therapist/Wehba Spa Therapist,Adiss Abeba	Ethiopian Skylight Hotel,"July 09, 2025 to July 14,2025",2025-06-27
Facility Manager - Gorgora,Adiss Abeba	Ethiopian Skylight Hotel,"July 09, 2025 to July 14,2025",2025-06-27
Food and Beverage Administration,Adiss Abeba	Ethiopian Skylight Hotel,"July 09, 2025 to July 14,2025",2025-06-27
Hospitality Manager,Adiss Abeba	Ethiopian Skylight Hotel,"July 09, 2025 to July 14,2025",2025-06-27
IT Executive,Adiss Abeba	Ethiopian Skylight Hotel,"July 09, 2025 to July 14,2025",2025-06-27
Facility Manager,Adiss Abeba	Ethiopian Skylight Hotel,"July 09, 2025 to July 14,2025",2025-06-27
Lodge Manager,Adiss Abeba	Ethiopian Skylight Hotel,"July 09, 2025 to July 14,2025",2025-06-27
Fainace Manager,Adiss Abeba	Ethiopian Skylight Hotel,"July 09, 2025 to July 14,2025",2025-06-27
Engineering Associate - Multi-skilled,Wonchi IJA Eco Lodge & Ethiopian Skylight Hotel,"July 02, 2025, to July 14, 2025",2025-06-27
Driver/Belboy,Wonchi IJA Eco Lodge & Ethiopian Skylight Hotel,"July 02, 2025, to July 14, 2025",2025-06-27
Staff Café - Chefs,Wonchi IJA Eco Lodge & Ethiopian Skylight Hotel,"July 02, 2025, to July 14, 2025",2025-06-27
Shift Engineer / Engineering Supervisor / Team Leader,Wonchi IJA Eco Lodge & Ethiopian Skylight Hotel,"July 02, 2025, to July 14, 2025",2025-06-27
Facility Manager,Wonchi IJA Eco Lodge & Ethiopian Skylight Hotel,"July 02, 2025, to July 14, 2025",2025-06-27
Fire & Rescue Officer I,"Different Location (Hawassa Airport, Gode Airport, Jigjiga Airport, Kabri Dahar Airport, Semera Airport, Dessie Airport, Kombolcha Arbaminch Airport, Gambella Airport, Assosa Airport, Goba/Robe Airport, Nekemte Airport, Dembidolo Airport)","From July 07, 2025, to July 11, 2025",2025-07-04
Loyalty Program Coordinator,Ethiopian Skylight Hotel Human Resources Office,"on or before July 11, 2025.",2025-07-05
Kids Club Receptionist,Ethiopian Skylight Hotel Human Resources Office,"On or before July 14, 2025.",2025-07-08
Kids Club Attendant,Ethiopian Skylight Hotel Human Resources Office,"On or before July 14, 2025.",2025-07-08
Associate Leadership Instructor,"Ethiopian Airlines Head Quarter, Ethiopian Airports Building (Recruitment & Placement Office)","July 14, 2025, up to July 18, 2025",2025-07-11
Bartender,Ethiopian Skylight Hotel Human Resources Office,"on or before July 18, 2025.",2025-07-14
Accountant,Via Email : EsayasTam@Ethiopianskytechnologies.com,"From July 16, 2025, to July 23, 2025",2025-07-15
Procurement and Finance Head,via email : EsayasTam@Ethiopianskytechnologies.com,"From July 16, 2025, to July 23, 2025",2025-07-15
JUNIOR QUALITY AND SAFETY ASSURANCE OFFICER,Ethiopian Airports Building (Recruitment & Placement Office),"July 23, 2025, up to July 29, 2025",2025-07-22
Executive Assistant Manager (EAM) – Operations- Lodges and Resorts,Ethiopian Skylight Hotel Human Resources Office in person or by sending your resume to Careers@ethiopianskylighthotel.com,"on or before July 28, 2025",2025-07-22
Production Planner I,"Ethiopian Airlines Head Quarter, Ethiopian Airport Building (Recruitment & Placement Office)","From July 25, 2025, to July 31, 2025",2025-07-24
Assistant Cook,"Ethiopian Airlines Head Quarter, Ethiopian Airport Building (Recruitment & Placement Office)","From July 25, 2025, to July 31, 2025",2025-07-24
JUNIOR DESKTOP TECHNICIAN,"Ethiopian Airlines Head Quarter, Ethiopian Airports Building (Recruitment & Placement Office).","From July 29, 2025, up to August 04, 2025",2025-07-28
SCHOOL OF MARKETING /SOM/ TRAINEE,Different Location,"AUGUST 11, 2025, TO AUGUST 15, 2025",2025-07-31
TRAINEE CABIN CREW,Different Location,"AUGUST 11, 2025 – AUGUST 15, 2025",2025-07-31
TRAINEE PILOT,Different Location,"AUGUST 11, 2025 – AUGUST 15, 2025",2025-07-31
